character_name,world_name,character_gender,character_class,character_level,character_guild_name,hair_name,hair_base_color,hair_mix_color,hair_mix_rate,face_name,face_base_color,face_mix_color,face_mix_rate,skin_name
효도,크로아,여,엔젤릭버스터,292,허니,초록색 라리엘 헤어,초록색,보라색,50,차분한 헤헤 얼굴,초록색,검은색,50,뽀송 꽃잎 피부
효도,크로아,여,엔젤릭버스터,292,허니,주황색 안젤라 헤어,주황색,검은색,88,랑드 얼굴,갈색,파란색,50,홍조 라벤더 피부
의첨지,스카니아,남,은월,292,디드,파란색 블링 토벤 헤어,파란색,검은색,50,졸린 얼굴,보라색,파란색,50,뽀송 라벤더 피부
혜라,루나,여,"아크메이지(썬,콜)",292,체라,검은색 반쪽 병아리콩 헤어,검은색,주황색,10,깨아잉 얼굴,검은색,보라색,23,뽀송 라벤더 피부
카시,스카니아,여,섀도어,292,YAYA,초록색 데이즈 헤어,초록색,갈색,59,조용한 눈 얼굴,자수정,에메랄드,75,뽀송 라벤더 피부
중딩,엘리시움,남,섀도어,292,소원,검은색 체커 록키 헤어,검은색,,0,몬스터 슬라임 얼굴,보라색,초록색,50,뽀송 꽃잎 피부
띤잘,루나,여,메카닉,292,Cross,갈색 라로즈 헤어,갈색,파란색,87,아서 얼굴,갈색,파란색,50,뽀송 꽃잎 피부
이제티,루나,여,메카닉,292,Cross,보라색 라로즈 헤어,보라색,빨간색,59,조용한 눈 얼굴,보라색,파란색,50,홍조 꽃잎 피부
미운,엘리시움,남,히어로,292,치치,갈색 테디 헤어,갈색,파란색,50,졸린 얼굴,자수정,에메랄드,51,뽀송 라벤더 피부
밍안,스카니아,여,라라,292,우주,검은색 발랄웨이브 헤어,검은색,초록색,25,깨도잉 얼굴,검은색,자수정,28,뽀송 라벤더 피부
넨코,루나,여,라라,292,SiniSter,파란색 엘로디 헤어,파란색,검은색,50,헤헤 얼굴,검은색,,0,홍조 꽃잎 피부
hs푸른하늘sh,크로아,남,다크나이트,292,치치,빨간색 수호 헤어,빨간색,초록색,50,차분한 루시드 얼굴,빨간색,초록색,50,뽀송 꽃잎 피부
한송우,엘리시움,남,나이트로드,292,별빛,검은색 포유 헤어,검은색,,0,꿈꾸는 얼굴,에메랄드,보라색,50,뽀송 꽃잎 피부
Ssiwoo,루나,남,아란,292,아담,초록색 포근 코튼 헤어,초록색,보라색,66,아잉 얼굴,검은색,파란색,50,홍조 꽃잎 피부
RetroRampage,엘리시움,여,블래스터,292,전설,빨간색 오르카 헤어,빨간색,보라색,75,뭐요 얼굴,에메랄드,보라색,50,홍조 꽃잎 피부
어린공주,유니온,여,"아크메이지(불,독)",292,ZEST,빨간색 블링크 헤어,빨간색,보라색,50,뭐래 얼굴,검은색,자수정,50,홍조 라벤더 피부
우락키네,엘리시움,여,키네시스,292,B9105,빨간색 안개 수려 헤어,빨간색,초록색,55,조용한 눈 얼굴,갈색,에메랄드,50,뽀송 꽃잎 피부
케롤,스카니아,여,"아크메이지(불,독)",292,해피,검은색 발랄웨이브 헤어,검은색,초록색,15,졸린 조용한 얼굴,에메랄드,갈색,72,뽀송 라벤더 피부
사선추격,스카니아,남,캡틴,292,헤로인,주황색 안개 퍼즐 헤어,주황색,검은색,84,꼬맹이 얼굴,검은색,파란색,34,홍조 꽃잎 피부
동전,루나,남,섀도어,292,소원,검은색 히트맨 헤어,검은색,노란색,16,왜요 얼굴,검은색,,0,뽀송 라벤더 피부
파스,엘리시움,여,"아크메이지(썬,콜)",292,BOSS,파란색 안개 엘로디 헤어,파란색,갈색,58,조용한 눈 얼굴,에메랄드,갈색,71,뽀송 라벤더 피부
원우,베라,여,비숍,292,나나,초록색 데이즈 헤어,초록색,보라색,64,조용한 눈 얼굴,빨간색,파란색,67,뽀송 라벤더 피부
래찬,루나,여,소울마스터,292,지존,보라색 웬디 헤어,보라색,파란색,50,조용한 눈 얼굴,에메랄드,자수정,50,뽀송 꽃잎 피부
섀마,스카니아,남,섀도어,292,전설,검은색 플로우 헤어,검은색,빨간색,9,멍한 얼굴,검은색,,0,뽀송 꽃잎 피부
BrutalThief,루나,남,섀도어,292,브루탈,빨간색 블레스 헤어,빨간색,,0,도전적인 얼굴,파란색,,0,뽀송 꽃잎 피부
연님,스카니아,여,아델,292,우주,노란색 하이틴 걸 헤어,노란색,검은색,76,조용한 눈 얼굴,자수정,에메랄드,62,뽀송 라벤더 피부
쩝법사21세,이노시스,남,배틀메이지,292,밤편지,보라색 큐즈미 헤어,보라색,파란색,23,은한 얼굴,빨간색,검은색,50,홍조 꽃잎 피부
히나,베라,기타,제로,292,Post,검은색 시원한 아침등교 헤어,검은색,주황색,11,멍한 오드아이 얼굴,검은색,빨간색,15,뽀송 라벤더 피부
히나,베라,기타,제로,292,Post,검은색 엘로디 헤어,검은색,갈색,17,조용한 눈 얼굴,검은색,빨간색,15,홍조 라벤더 피부
Elimentall9,유니온,여,비숍,292,Poison,갈색 블라썸 헤어,갈색,,0,디어 얼굴,검은색,,0,밀키 피부
딱조,오로라,여,"아크메이지(불,독)",292,빈둥,파란색 엘로디 헤어,파란색,갈색,41,조용한 눈 얼굴,자수정,에메랄드,59,홍조 라벤더 피부
카인님,크로아,남,카인,292,스마트,노란색 안젤로 헤어,노란색,검은색,85,츄르 얼굴,자수정,에메랄드,50,뽀송 라벤더 피부
쏘쿨,스카니아,남,팬텀,292,태초,검은색 요정윙 헤어,검은색,보라색,10,졸린 얼굴,검은색,파란색,23,뽀송 라벤더 피부
자너,스카니아,여,섀도어,292,미소,노란색 산뜻 단발 헤어,노란색,파란색,50,졸린 조용한 얼굴,에메랄드,보라색,50,뽀송 라벤더 피부
햄쥬,엘리시움,남,캐논마스터,292,불빛,파란색 애쉬 프리즘 헤어,파란색,갈색,50,냉소적인 아잉 얼굴,검은색,,0,뽀송 라벤더 피부
살마키스s,크로아,여,에반,292,은하,빨간색 블링 조용한 헤어,빨간색,파란색,58,조용한 눈 얼굴,검은색,초록색,50,홍조 꽃잎 피부
세계,엘리시움,남,윈드브레이커,292,디즈니,노란색 쿼츠 헤어,노란색,파란색,50,만지 얼굴,검은색,갈색,23,커스텀 비비드 컬러 피부
독성,오로라,남,"아크메이지(불,독)",292,뷰티,검은색 밤의 안젤로 헤어,검은색,빨간색,10,츄르 얼굴,빨간색,에메랄드,50,뽀송 라벤더 피부
Center,루나,남,소울마스터,292,Cross,검은색 안젤로 헤어,검은색,주황색,16,깨아잉 얼굴,보라색,파란색,50,뽀송 라벤더 피부
참피학대파,베라,여,일리움,292,세움,검은색 이슬꽃 헤어,검은색,갈색,16,왜죠 얼굴,검은색,파란색,78,태닝 피부
겨누인,제니스,기타,제로,292,모아즈,검은색 테디 헤어,검은색,노란색,27,차차 얼굴,자수정,검은색,73,뽀송 꽃잎 피부
겨누인,제니스,기타,제로,292,모아즈,주황색 블링 신비 헤어,주황색,파란색,77,아잉 얼굴,검은색,,0,뽀송 꽃잎 피부
검성남짱,루나,남,히어로,292,스타,검은색 채운 헤어,검은색,,0,차분한 루시드 얼굴,빨간색,에메랄드,50,뽀송 라벤더 피부
Jons,베라,남,데몬어벤져,292,땡글,파란색 백야 헤어,파란색,갈색,50,차차 얼굴,파란색,보라색,50,커스텀 비비드 컬러 피부
숙원,스카니아,남,바이퍼,292,바다,검은색 수호 헤어,검은색,주황색,16,뮤트 얼굴,자수정,에메랄드,50,뽀송 라벤더 피부
병국,루나,남,데몬슬레이어,292,욘석들,노란색 플로리안 헤어,노란색,파란색,59,루시드 얼굴,검은색,,0,뽀송 꽃잎 피부
춥고,루나,남,아크,292,고수time,검은색 레드카펫 헤어,검은색,갈색,50,루시드 얼굴,갈색,빨간색,50,뽀송 꽃잎 피부
Feta,스카니아,남,루미너스,292,키즈,파란색 영웅 팬텀 헤어,파란색,보라색,50,차차 얼굴,보라색,자수정,50,뽀송 꽃잎 피부
난또삐,스카니아,여,데몬어벤져,292,악마,검은색 말괄량이 헤어,검은색,주황색,16,조용한 눈 얼굴,보라색,갈색,50,홍조 꽃잎 피부
숫기,엘리시움,남,플레임위자드,292,BOSS,주황색 안개 퍼즐 헤어,주황색,검은색,84,차차 얼굴,검은색,파란색,23,뽀송 라벤더 피부
유리카,크로아,여,블래스터,292,지존,초록색 블링 소프라노 헤어,초록색,보라색,60,저거 사줘 얼굴,갈색,,0,뽀송 꽃잎 피부
시쟈,제니스,남,나이트로드,292,달치즈,보라색 리커버 헤어,보라색,검은색,84,멍한 얼굴,검은색,파란색,23,뽀송 라벤더 피부
표도,베라,여,나이트로드,292,Class,검은색 시원한 아침등교 헤어,검은색,노란색,20,랑드 얼굴,검은색,빨간색,30,뽀송 라벤더 피부
진로,엘리시움,여,윈드브레이커,292,고치,초록색 라리엘 헤어,초록색,보라색,50,랑드 얼굴,파란색,갈색,50,뽀송 라벤더 피부
캐슈,루나,남,캐논마스터,292,도로시,보라색 스테리 헤어,보라색,초록색,93,웡키 얼굴,검은색,,0,뽀송 라벤더 피부
이나린,엘리시움,여,아크,292,갱이와,초록색 데이즈 헤어,초록색,보라색,50,순수 디어 얼굴,파란색,보라색,50,뽀송 라벤더 피부
뼈묠,제니스,남,팔라딘,292,말걸지마,주황색 더듬이 헤어,주황색,보라색,50,전설의 얼굴,빨간색,자수정,24,커스텀 비비드 컬러 피부
유자쏘주,엘리시움,여,에반,292,마리,빨간색 맑은 단발 헤어,빨간색,파란색,50,멍한 얼굴,검은색,,0,뽀송 꽃잎 피부
서경이,크로아,남,"아크메이지(불,독)",292,사해,검은색 꼬마야 헤어,검은색,파란색,23,조용한 눈 얼굴,에메랄드,자수정,50,뽀송 꽃잎 피부
메세지,스카니아,남,비숍,292,리더,검은색 블링 에반 헤어,검은색,갈색,40,멍한 얼굴,초록색,빨간색,50,뽀송 라벤더 피부
코세,엘리시움,남,데몬슬레이어,292,BOSS,검은색 에반 남자 머리,검은색,초록색,40,한결같은 신비얼굴,빨간색,파란색,63,뽀송 라벤더 피부
건들면클나용,유니온,여,아델,292,웃음그리기,노란색 말괄량이 헤어,노란색,빨간색,83,차분한 헤헤 얼굴,파란색,,0,홍조 꽃잎 피부
섭이,엘리시움,남,비숍,292,BOSS,초록색 넵튠 헤어,초록색,보라색,50,차차 얼굴,검은색,파란색,23,뽀송 라벤더 피부
소방청장,스카니아,남,비숍,292,오순,검은색 아침등교 헤어,검은색,갈색,25,멋져 얼굴,자수정,보라색,48,뽀송 꽃잎 피부
전통적인궁수,유니온,남,신궁,292,도로시,갈색 더벅 머리,갈색,검은색,97,도전적인 얼굴,파란색,,0,크림 피부
핌이,엘리시움,남,비숍,292,파티,검은색 채운 헤어,검은색,보라색,25,깨도잉 얼굴,검은색,자수정,24,뽀송 라벤더 피부
히터,엘리시움,남,"아크메이지(불,독)",292,BOSS,검은색 시간의나라 흰토끼 헤어,검은색,파란색,23,차차 얼굴,검은색,파란색,23,뽀송 라벤더 피부
해조,유니온,남,섀도어,292,Lunes,파란색 빅토리 라이더 헤어,파란색,검은색,77,은은한 루어 얼굴,에메랄드,빨간색,38,뽀송 라벤더 피부
치리,크로아,여,메르세데스,292,루루,검은색 치즈볼 헤어,검은색,갈색,23,뭐요 얼굴,파란색,검은색,40,엘프 피부
매력만빵,스카니아,여,엔젤릭버스터,292,훈장교,빨간색 펄리 헤어,빨간색,초록색,61,졸린 조용한 얼굴,에메랄드,갈색,71,뽀송 라벤더 피부
매력만빵,스카니아,여,엔젤릭버스터,292,훈장교,갈색 안개 안젤라 헤어,갈색,검은색,50,조용한 눈 얼굴,자수정,초록색,50,뽀송 라벤더 피부
토하,루나,남,블래스터,292,지존,검은색 쿼츠 헤어,검은색,노란색,22,멍한 오드아이 얼굴,빨간색,에메랄드,50,뽀송 라벤더 피부
리테,루나,남,윈드브레이커,292,지존,초록색 숲의 요정,초록색,보라색,31,안젤로 얼굴,초록색,파란색,57,홍조 꽃잎 피부
똑설,스카니아,여,비숍,292,악마,검은색 블링 슈가캔디 헤어,검은색,노란색,12,조용한 눈 얼굴,빨간색,에메랄드,50,뽀송 라벤더 피부
나넹,스카니아,여,윈드브레이커,292,미소,초록색 흑설탕 헤어,초록색,보라색,50,엘 페일 얼굴,갈색,초록색,50,뽀송 꽃잎 피부
하란,오로라,여,패스파인더,292,그곳,빨간색 버블리 헤어,빨간색,파란색,42,조용한 눈 얼굴,에메랄드,자수정,50,홍조 꽃잎 피부
헤븐즈도어,크로아,남,비숍,292,LuMinouS,갈색 리시안 헤어,갈색,검은색,50,차차 얼굴,파란색,검은색,50,뽀송 라벤더 피부
예식,스카니아,여,비숍,292,반숙,빨간색 클루 헤어,빨간색,파란색,71,청명 얼굴,검은색,자수정,50,뽀송 라벤더 피부
정식,스카니아,여,아델,292,영원,초록색 엘로디 헤어,초록색,파란색,88,졸린 오드아이 얼굴,자수정,초록색,28,뽀송 라벤더 피부
긴장,스카니아,남,듀얼블레이더,292,사랑,검은색 에반 남자 머리,검은색,초록색,30,빠밤 얼굴,갈색,검은색,89,뽀송 꽃잎 피부
드랭,스카니아,여,듀얼블레이더,292,리더,노란색 Selfy 리본 하이 헤어,노란색,파란색,24,Selfy 물들은 얼굴,검은색,,0,뽀송 라벤더 피부
벨치스,루나,남,블래스터,292,환생,파란색 뾰롱이 헤어,파란색,초록색,25,전설의 얼굴,검은색,,0,커스텀 비비드 컬러 피부
서산강한남자,크로아,여,엔젤릭버스터,292,허니,검은색 애쉬 버블리 헤어,검은색,초록색,17,아잉 얼굴,검은색,,0,홍조 꽃잎 피부
서산강한남자,크로아,여,엔젤릭버스터,292,허니,빨간색 블랑슈 헤어,빨간색,검은색,88,깨도잉 얼굴,검은색,,0,홍조 꽃잎 피부
챌리,스카니아,남,"아크메이지(썬,콜)",292,영원,빨간색 안개 무결 헤어,빨간색,초록색,50,랑드 얼굴,갈색,파란색,50,뽀송 라벤더 피부
Aran2최고다,스카니아,남,아란,292,Crater,갈색 페르 헤어,갈색,빨간색,50,루시드 얼굴,검은색,파란색,55,뽀송 꽃잎 피부
경기제논,루나,남,제논,292,트리플크라운,검은색 레드카펫 헤어,검은색,갈색,41,한결같은 신비얼굴,자수정,에메랄드,50,뽀송 꽃잎 피부
남준,베라,남,제논,292,Class,파란색 페어리 헤어,파란색,노란색,41,차차 얼굴,검은색,파란색,23,뽀송 라벤더 피부
대호,루나,남,아델,292,지존,갈색 데이즈 헤어,갈색,파란색,50,멍한 얼굴,파란색,빨간색,50,홍조 꽃잎 피부
승연,레드,여,보우마스터,292,우아,파란색 엘로디 헤어,파란색,보라색,50,꼬맹이 얼굴,검은색,보라색,36,뽀송 꽃잎 피부
구가,크로아,여,은월,292,띠드버거,검은색 안개 라리엘 헤어,검은색,,0,차분한 헤헤 얼굴,검은색,,0,홍조 라벤더 피부
구닌,스카니아,여,스트라이커,292,미소,검은색 조용한 단발 헤어,검은색,,0,디어 얼굴,검은색,,0,뽀송 라벤더 피부
Closer,루나,남,카데나,292,Holic,노란색 페어리 헤어,노란색,파란색,50,멍한 얼굴,검은색,보라색,50,뽀송 꽃잎 피부
불맛,크로아,여,"아크메이지(불,독)",292,애플,검은색 펄리 헤어,검은색,파란색,25,창백한 뭐래 얼굴,자수정,파란색,50,뽀송 꽃잎 피부
전생,엘리시움,남,플레임위자드,292,디즈니,검은색 빅토리 라이더 헤어,검은색,주황색,16,멍한 오드아이 얼굴,검은색,자수정,33,뽀송 라벤더 피부
져봐,엘리시움,기타,제로,292,뿔버섯,검은색 히트맨 헤어,검은색,,0,차분한 루시드 얼굴,에메랄드,빨간색,50,뽀송 꽃잎 피부
져봐,엘리시움,기타,제로,292,뿔버섯,검은색 안개 수려 헤어,검은색,파란색,50,차분한 루시드 얼굴,빨간색,,0,뽀송 꽃잎 피부
포링슈슈,제니스,여,패스파인더,292,바다,검은색 핑키웨이 헤어,검은색,주황색,16,흥흥 얼굴,에메랄드,검은색,50,뽀송 꽃잎 피부
독주,크로아,남,"아크메이지(불,독)",292,루루,빨간색 에반 남자 머리,빨간색,초록색,90,졸린 얼굴,빨간색,,0,뽀송 라벤더 피부
Harb,크로아,남,나이트로드,292,허니,초록색 루야 헤어,초록색,보라색,50,차차 얼굴,검은색,파란색,24,뽀송 라벤더 피부
조승,오로라,남,스트라이커,292,말랑,파란색 안개 안젤로 헤어,파란색,갈색,74,안보여요 얼굴,갈색,보라색,50,뽀송 라벤더 피부
먹밍,루나,여,아델,292,포스,보라색 밤의 안젤라 헤어,보라색,검은색,67,헤헤 얼굴,에메랄드,보라색,50,뽀송 꽃잎 피부
리와와,엘리시움,남,와일드헌터,292,BOSS,파란색 포니 엘피네 헤어,파란색,갈색,50,졸린 조용한 얼굴,파란색,갈색,50,뽀송 꽃잎 피부
월세,이노시스,남,듀얼블레이더,292,바다,보라색 플로리안 헤어,보라색,파란색,73,한결같은 이국얼굴,파란색,보라색,64,아메지스트 피부
르키,유니온,남,은월,292,Lunes,보라색 새벽 안개 헤어,보라색,초록색,50,차분한 루시드 얼굴,자수정,파란색,50,뽀송 라벤더 피부
고서,크로아,남,"아크메이지(썬,콜)",292,Alpha,검은색 애쉬 프리즘 헤어,검은색,갈색,50,멍한 얼굴,갈색,검은색,50,뽀송 꽃잎 피부
쳐찢,오로라,여,듀얼블레이더,292,투썸,파란색 라리엘 헤어,파란색,갈색,22,쪼꼬미 얼굴,자수정,,0,홍조 꽃잎 피부
탕빠,스카니아,남,카이저,292,사랑,검은색 레드카펫 헤어,검은색,주황색,15,멍한 얼굴,검은색,파란색,77,뽀송 꽃잎 피부
우향,베라,남,듀얼블레이더,292,제리,초록색 포멀 엘피 헤어,초록색,보라색,23,멍한 오드아이 얼굴,자수정,에메랄드,65,뽀송 라벤더 피부
칼리,크로아,여,칼리,292,Alpha,초록색 시크릿 보브 헤어,초록색,노란색,50,칼리 얼굴,빨간색,,0,뽀송 꽃잎 피부
하늘과땅차이,스카니아,여,다크나이트,292,맛탕,보라색 솜솜이 헤어,보라색,파란색,50,조용한 눈 얼굴,보라색,초록색,50,홍조 꽃잎 피부
미헤,스카니아,여,팔라딘,292,헤로인,검은색 안젤라 헤어,검은색,파란색,23,깨맹이 얼굴,파란색,,0,뽀송 라벤더 피부
캅쑤,스카니아,남,메카닉,292,샛별,검은색 허쉬 헤어,검은색,,0,동그래 얼굴,빨간색,보라색,50,뽀송 꽃잎 피부
량이,크로아,남,팬텀,292,루루,파란색 시엘 헤어,파란색,갈색,50,졸린 얼굴,검은색,파란색,78,커스텀 뽀송 라벤더 컬러라인 피부
황후,스카니아,여,호영,292,겨울,초록색 체커 루키 헤어,초록색,보라색,68,조용한 눈 얼굴,에메랄드,자수정,38,뽀송 라벤더 피부
읽씹,루나,남,와일드헌터,292,Fairplay,검은색 데이즈 헤어,검은색,주황색,16,깨도잉 얼굴,검은색,,0,뽀송 라벤더 피부
